date,ticker,action,price,shares,weight,combo_rank,rebalance_id,pnl,reason
2008-04-02,CRM,BUY,15.113528698494468,818.560763500569,0.04999999999999999,10.0,34,0.0,rebalance
2008-04-02,ALGN,BUY,12.449999809265137,12293.836562457214,0.04999999999999999,11.0,34,0.0,rebalance
2008-04-02,GD,BUY,56.25879982269778,101.53559440059189,0.04999999999999999,12.0,34,0.0,rebalance
2008-04-02,DIS,BUY,26.321941477877324,341.1451881543662,0.04999999999999999,13.0,34,0.0,rebalance
2008-04-02,AMGN,BUY,28.091651406974176,5447.512414485015,0.04999999999999999,14.0,34,0.0,rebalance
2008-04-02,EXPE,BUY,31.37026658960162,833.9540215026864,0.04999999999999999,15.0,34,0.0,rebalance
2008-04-02,CMI,BUY,32.272737659213185,4742.122114948832,0.04999999999999999,16.0,34,0.0,rebalance
2008-04-02,TXT,BUY,54.14421033761283,230.79165118667197,0.04999999999999999,17.0,34,0.0,rebalance
2008-04-02,OKE,BUY,7.599308440644898,1682.5585014242315,0.04999999999999999,18.0,34,0.0,rebalance
2008-04-02,INTU,BUY,24.807185401978657,227.6900165824045,0.04999999999999999,19.0,34,0.0,rebalance
2008-04-02,UNP,BUY,21.882791294145267,646.7667165519788,0.04999999999999999,20.0,34,0.0,rebalance
2008-06-02,UNP,TAKE_PROFIT,27.877982928425695,6995.028824113015,0.0,,0,0.8081418373435505,risk_exit
2008-06-18,HST,STOP,7.835303134450384,17037.49782204891,0.0,,0,-0.30725740625942655,risk_exit
2008-06-20,EXPE,STOP,26.178759912718007,4878.579772619822,0.0,,0,-0.3085912006299031,risk_exit
2008-07-02,VMC,BUY,47.54913993493831,676.7276222871587,0.04999999999999999,1.0,35,0.0,rebalance
2008-07-02,EFX,BUY,27.94445970611467,433.85331653189405,0.04999999999999999,2.0,35,0.0,rebalance
2008-07-02,BSX,BUY,12.210000038146973,1534.4441925752726,0.04999999999999999,3.0,35,0.0,rebalance
2008-07-02,STE,BUY,21.42050286345082,213.54716561549685,0.04999999999999999,4.0,35,0.0,rebalance
2008-07-02,DGX,BUY,34.802582505069346,58.59464842747548,0.04999999999999999,5.0,35,0.0,rebalance
2008-07-02,BKR,BUY,43.11077565118828,806.2031422556452,0.04999999999999999,6.0,35,0.0,rebalance
2008-07-02,HST,BUY,7.206900980758759,21694.830374994526,0.04999999999999999,7.0,35,0.0,rebalance
2008-07-02,IBM,BUY,62.015724553366134,9.823183078412058,0.04999999999999999,8.0,35,0.0,rebalance
2008-07-02,SPGI,BUY,27.821751967033254,151.61561045262079,0.04999999999999999,9.0,35,0.0,rebalance
2008-07-02,CRM,BUY,17.418648813081923,1150.8604635669508,0.04999999999999999,10.0,35,0.0,rebalance
2008-07-02,ALGN,BUY,10.850000381469727,2117.575282005666,0.04999999999999999,11.0,35,0.0,rebalance
2008-07-02,GD,BUY,55.35816487748538,104.50168690423652,0.04999999999999999,12.0,35,0.0,rebalance
2008-07-02,DIS,BUY,25.589855351014613,296.5615845771754,0.04999999999999999,13.0,35,0.0,rebalance
2008-07-02,AMGN,BUY,32.36981439592074,617.0722770558941,0.04999999999999999,14.0,35,0.0,rebalance
2008-07-02,EXPE,BUY,23.862745441416852,6552.37127529104,0.04999999999999999,15.0,35,0.0,rebalance
2008-07-02,CMI,BUY,42.928053411839194,1100.9969963289536,0.04999999999999999,16.0,35,0.0,rebalance
2008-07-02,TXT,BUY,45.942000946877044,575.3603851639623,0.04999999999999999,17.0,35,0.0,rebalance
2008-07-02,OKE,BUY,8.289004176454398,1284.965137206338,0.04999999999999999,18.0,35,0.0,rebalance
2008-07-02,INTU,BUY,24.501138843749178,209.41807870872617,0.04999999999999999,19.0,35,0.0,rebalance
2008-07-02,UNP,BUY,25.21477506314485,6199.285090720998,0.04999999999999999,20.0,35,0.0,rebalance
2008-07-11,VMC,STOP,43.371966425295795,3288.2197645177525,0.0,,0,-0.303343441894832,risk_exit
2008-09-19,TXT,STOP,33.09159501067547,3402.483404255987,0.0,,0,-0.23739313266288187,risk_exit
2008-09-30,OKE,STOP,5.737629420655549,18858.050839539013,0.0,,0,-0.31743664409938,risk_exit
2008-10-02,VMC,BUY,58.65124754974808,2413.1586384869674,0.04999999999999999,1.0,36,0.0,rebalance
2008-10-02,EFX,BUY,27.389545382831223,427.0959889066089,0.04999999999999999,2.0,36,0.0,rebalance
2008-10-02,BSX,BUY,11.25,222.96374933363404,0.04999999999999999,3.0,36,0.0,rebalance
2008-10-02,STE,BUY,26.68801034071083,1995.27286709277,0.04999999999999999,4.0,36,0.0,rebalance
2008-10-02,DGX,BUY,37.67520367599039,735.768537871902,0.04999999999999999,5.0,36,0.0,rebalance
2008-10-02,BKR,BUY,27.118712051748272,1592.2481689805322,0.04999999999999999,6.0,36,0.0,rebalance
2008-10-02,HST,BUY,6.977105052433082,1404.782179828584,0.04999999999999999,7.0,36,0.0,rebalance
2008-10-02,IBM,BUY,57.036317646289774,39.23262160943932,0.04999999999999999,8.0,36,0.0,rebalance
2008-10-02,SPGI,BUY,21.428000798182865,986.468452674435,0.04999999999999999,9.0,36,0.0,rebalance
2008-10-02,CRM,BUY,11.299512876942666,3551.830181713456,0.04999999999999999,10.0,36,0.0,rebalance
2008-10-02,ALGN,BUY,10.510000228881836,940.5009929326789,0.04999999999999999,11.0,36,0.0,rebalance
